,,,,,,,,,,,,,
#,name,NED link,IRSA link,prediction:,mode,pitch,direction,measured:,mode,pitch,error,direction,SFRavg
1,N4192,http://ned.ipac.caltech.edu/byname?objname=N4192&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22183.4511878%3B14.90033422%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,74,CCW,,2,89,12.6,CCW,1.82
2,N4212,http://ned.ipac.caltech.edu/byname?objname=N4212&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22183.914%3B13.9015%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,3,25,CCW,,2,69,9.8,CCW,1.08
3,N4216,http://ned.ipac.caltech.edu/byname?objname=N4216&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22183.9768333%3B13.14938889%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,83,CW,,2,90,12.6,CW,0.8
4,N4254,http://ned.ipac.caltech.edu/byname?objname=N4254&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22184.7066823%3B14.41650857%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,4,27,CW,,2,32,3.9,CW,7.21
5,N4298,http://ned.ipac.caltech.edu/byname?objname=N4298&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1  ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22185.3865%3B14.60616667%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,18,CCW,,2,58,8,CCW,0.94
6,N4302,http://ned.ipac.caltech.edu/byname?objname=N4302&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22185.427%3B14.59830556%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,80,CW,,2,89,20.7,CW,0.82
7,N4303,http://ned.ipac.caltech.edu/byname?objname=N4303&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22185.4787318%3B4.473645853%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,15,CW,,2,30,3.6,CW,7.4
8,N4321,http://ned.ipac.caltech.edu/byname?objname=N4321&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22185.7284629%3B15.82181778%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,34,CCW,,2,20,1.95,CCW,6.08
9,N4402,http://ned.ipac.caltech.edu/byname?objname=N4402&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22186.53189%3B13.11332%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,indescernable,,,,,1,53,12.6,CCW,0.9
10,N4419,http://ned.ipac.caltech.edu/byname?objname=N4419&hconst=67.8&omegam=0.308&omegav=0.692&wmap=4&corr_z=1 ,https://irsa.ipac.caltech.edu/applications/finderchart/?__action=table.search&options=%7B%22tbl_group%22%3A%22upload-table-id%22%2C%22pageSize%22%3A100%7D&request=%7B%22selectImage%22%3A%22dss%2Csdss%2C2mass%2Cwise%2Ciras%22%2C%22tbl_id%22%3A%22upload-table-id%22%2C%22searchCatalog%22%3A%22yes%22%2C%22UserTargetWorldPt%22%3A%22186.7351671%3B15.047385%3BEQ_J2000%22%2C%22id%22%3A%22QueryFinderChartWeb%22%2C%22imageSizeAndUnit%22%3A%220.08333333333333333%22%2C%22META_INFO%22%3A%7B%22tbl_id%22%3A%22upload-table-id%22%7D%2C%22pageSize%22%3A100%2C%22startIdx%22%3A0%7D ,,2,85,CW,,2,89,12.6,CW,1.35
